url,playlistName,saves,playlistOwner,playlistOwnerProfile
https://open.spotify.com/playlist/37i9dQZF1DX6cFbK8tUIPC,pumpkin spice,"441,920 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DXbm6HfkbMtFZ,Feel Good Dinner,"727,489 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/5iwkYfnHAGMEFLiHFFGnP4,HITS 2024 - Today's Top Songs,"595,163 saves",Topsify,https://open.spotify.com/user/topsify
https://open.spotify.com/playlist/7C2bN1IsHgTXXVuMywmqgy,"alabama, arkansas, i do love my ma and pa","5,074 saves",Addyson,https://open.spotify.com/user/oc0mswn1pcveubb3dllwnario
https://open.spotify.com/playlist/37i9dQZF1DXad2sxzzYX1N,Indie that hits different,"496,832 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/1nYOwOZEdzfLS2nMG4D8U5,lumineers type beat,"26,787 saves",Sneha Chandra,https://open.spotify.com/user/snehachandra24
https://open.spotify.com/playlist/1geyfozi6iX1zrryE1ro9i,Camping Vibes,"16,903 saves",bronanna_man,https://open.spotify.com/user/bronanna_man
https://open.spotify.com/playlist/7AWjKJnJpjNo6OezYwOXV4,gym sad.,"7,386 saves",siquesX,https://open.spotify.com/user/31wpwaqycbybgo7ak3m4sizryjgm
https://open.spotify.com/playlist/37i9dQZF1DX2pSTOxoPbx9,Dark & Stormy,"829,728 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/2wCnjnPURKXlwqSKUAOuPE,rainbow kitten suprise songs that make we wanna lay on my roof at 2 am,"1,810 saves",diana.c35,https://open.spotify.com/user/diana.c35
https://open.spotify.com/playlist/37i9dQZF1DXa9xHlDa5fc6,License To Chill,"468,196 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/7cI7FI5ovz7TUGfS9NvyWM,morning indie coffee.,"4,376 saves",Patrick Lipinski,https://open.spotify.com/user/plip913
https://open.spotify.com/playlist/4hF3uIC8S2WyXZUFPCm2l5,It's Called: Freefall vibes,"2,136 saves",Val,https://open.spotify.com/user/217p3bmuqjt3dyvwrkn2jgnza
https://open.spotify.com/playlist/1cpHXPYtZIvUbQ6Nen8gSm,Winning Isn’t For Everyone,"1,231 saves",Nike Run Club,https://open.spotify.com/user/nikerunclub
https://open.spotify.com/playlist/37i9dQZF1DX6KOz8PNkOlS,Soft Office,""472,557 saves",Ashley,https://open.spotify.com/user/o630dzarz83u3oni73r7yudrm
https://open.spotify.com/playlist/37i9dQZF1DX8Yh4s5ZlkHg,sexy indie,"294,762 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DXbm6HfkbMtFZ,Feel Good Dinner,"727,488 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DX2ogDiL6nZJr,Van Life,"801,616 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DX2UQ1I1FrJsu,Wine Bar,"81,018 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DWYRdd9noPgqB,Feel Good,"291,439 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DX915ogFalrko,Dîner entre amis,"170,138 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DX2yvmlOdMYzV,Lowkey,"943,932 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/73zuifQrlAAPRwO9X8BGit,Best of Cleo Sol🌻,"4,326 saves",Naomichisom,https://open.spotify.com/user/nu5tpuf29o3ns8fs3nchphi14
https://open.spotify.com/playlist/37i9dQZF1DX6AWGsjpYHPA,Turntable,"153,998 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DX4HvY8T59VN2,Chilled Indie,"73,589 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DXcy0AaElSqwE,Arkada Çalsın,"542,890 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DXaXDsfv6nvZ5,Soul Coffee,"762,106 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DX8fxXxctv5B2,Coastal Drive,"180,821 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/4w548JFmkGDLqoQLLijP1E,too sweet by hozier vibes ☕️,"20,471 saves",Gianni Bee,https://open.spotify.com/user/2164ztlgjllgaudces6esmh5a
https://open.spotify.com/playlist/37i9dQZF1DX5lDysu4GbKR,Acoustic Soul,"602,673 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/1NwGmPWarNaAvpIGH79Kfr,that girl 2024🫧🎀🧘🏼‍♀️,"36,966 saves",lyds,https://open.spotify.com/user/lydiawilson1818
https://open.spotify.com/playlist/37i9dQZF1DX7QC1DnNqj3m,Sweet Soul Sunday,"527,944 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DX7sHfsYE2VI7,Chill Dance Classics,"58,832 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/5m6QivPVCbicHqmDKcwryf,NEO:SOUL OASIS✨🪴,"32,858 saves",Elsie not Elise,https://open.spotify.com/user/kutilerie
https://open.spotify.com/playlist/37i9dQZF1DZ06evO02u27n,,"165,718 saves",undefined,
https://open.spotify.com/playlist/37i9dQZF1DXdEZt3tTR001,floating,"178,808 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/6yBLpfnHQJv4bBdysGODfA,SOHO HOUSE : MORNING,"9,935 saves",Soho House,https://open.spotify.com/user/sohohouse1995
https://open.spotify.com/playlist/37i9dQZF1DX62Nfha2yFhL,Soul Lounge,"910,065 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DX1dCB1tRLrgB,Dinner Mood,"81,608 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/4UzcSuzxBEQ63lYvVS9tvB,SOHO HOUSE : NOON,"7,706 saves",Soho House,https://open.spotify.com/user/sohohouse1995
https://open.spotify.com/playlist/37i9dQZF1DX9VQGDONS7Zo,Bitter Sweet Indie,"42,660 saves",Spotify,https://open.spotify.com/user/spotify
