url,playlistName,saves,playlistOwnerProfile,playlistOwner
https://open.spotify.com/playlist/0eSpwWFkyiWUuO9AhEMpW0,90-2000 Hits Playlist - Best 1990s Music & Throwbacks 2000 Songs (Back in The Day Songs),"69,065 saves",https://open.spotify.com/user/7bntwjdswpqhrnqr0gssydbd0,Redlist Playlists
https://open.spotify.com/playlist/01RUTF0JZiDQwfOT0t0vLD,Lash tech playlist💆🏽‍♀️💕(work),"2,404 saves",https://open.spotify.com/user/8xniiy6271qqe3oazsusf1gyd,medina sadiki
https://open.spotify.com/playlist/5arFyak5nEhUf9kpsssXxT,"Old School Blues 80’s & 90’s R&B, Slow love Songs","4,902 saves",https://open.spotify.com/user/2uwjxzqvna8urfndn17fuy7mx,Smith Aangdu
https://open.spotify.com/playlist/5BHXdYTiikPRJ9EAjW94lI,R&B Break UP Songs💔,"1,565 saves",https://open.spotify.com/user/essencewilliams207,essiepoo
https://open.spotify.com/playlist/7lDxr2YvU0NNCrJMW6Cxhh,RnB soul❤️🤧,"2,495 saves",https://open.spotify.com/user/31rnurm2v5acvivbj4zjkoqkpcue,LWAZI
https://open.spotify.com/playlist/3r9gapsf5wbO23jL5gLugT,90's and 2000's R&B,"6,720 saves",https://open.spotify.com/user/shan.ossy,Šhån Śhañ Øssý
https://open.spotify.com/playlist/0SAWp4yNyF5bA4VLmWAHUc,Old School Slow Love Songs,"22,860 saves",https://open.spotify.com/user/gb8wrhvqx5ahww7nmhnwlo9x6,Oluchigabs
https://open.spotify.com/playlist/2Xc1AmLTyL4uUOSxYsT65O,clean music for everyone👌,"6,348 saves",https://open.spotify.com/user/1292207119,Corsica Farr
https://open.spotify.com/playlist/5J4XqcdSIeA1yvIY31n0AJ,jordan poole lightskin songs,"13,766 saves",https://open.spotify.com/user/cnsmixgj1mz8nfj7j9mcy4yw8,codes
https://open.spotify.com/playlist/6r2KnZBDd3mCh5jY7Cb9OJ,Best of Fantasia,"6,201 saves",https://open.spotify.com/user/fantasiaofficial,fantasiaofficial
